2021-10-02 03:18:55 UTC Syncing #13337405 0x8a16…ed4b     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#11302878 LI:#13337413   38/50 peers      2 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:18:57 UTC Reorg to #13337406 0x5f9f…dce9 (0x8a16…ed4b #13337404 0x7aec…914b 0xe69d…85a1)
2021-10-02 03:19:00 UTC Syncing #13337406 0x5f9f…dce9     0.20 blk/s   24.6 tx/s    2.3 Mgas/s      0+    7 Qed Ancient:#11302880 LI:#13337414   38/50 peers      2 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:19:05 UTC Syncing #13337406 0x5f9f…dce9     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#11302880 LI:#13337414   38/50 peers      2 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:19:10 UTC Syncing #13337406 0x5f9f…dce9     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#11302880 LI:#13337415   38/50 peers      2 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:19:15 UTC Syncing #13337407 0x8148…cdbd     0.20 blk/s   33.4 tx/s    2.6 Mgas/s      0+    7 Qed Ancient:#11302881 LI:#13337415   38/50 peers      2 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:19:20 UTC Syncing #13337408 0xaf39…e9ce     0.20 blk/s   17.0 tx/s    1.2 Mgas/s      0+    7 Qed Ancient:#11302882 LI:#13337416   37/50 peers      2 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:19:25 UTC Syncing #13337408 0xaf39…e9ce     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#11302882 LI:#13337416   37/50 peers      2 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:19:30 UTC Syncing #13337408 0xaf39…e9ce     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#11302882 LI:#13337416   35/50 peers      2 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:19:35 UTC Syncing #13337409 0x7782…1be0     0.20 blk/s   38.2 tx/s    3.5 Mgas/s      0+    7 Qed Ancient:#11302883 LI:#13337417   35/50 peers      2 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:19:40 UTC Syncing #13337409 0x7782…1be0     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#11302883 LI:#13337417   37/50 peers      6 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:19:45 UTC Syncing #13337409 0x7782…1be0     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#11302883 LI:#13337418   36/50 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:19:50 UTC Syncing #13337409 0x7782…1be0     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#11302883 LI:#13337418   36/50 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 03:19:55 UTC Syncing #13337409 0x7782…1be0     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#11302883 LI:#13337418   36/50 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
