2021-09-22 00:17:48 UTC Syncing #13272314 0x7be8…b623     0.40 blk/s   52.6 tx/s    5.2 Mgas/s      0+    7 Qed Ancient:#5591869 LI:#13272321   14/25 peers      3 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 00:17:53 UTC Syncing #13272315 0xb50e…c22e     0.20 blk/s   41.8 tx/s    3.1 Mgas/s      0+    6 Qed Ancient:#5591870 LI:#13272321   14/25 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 00:17:57 UTC Syncing #13272317 0xedbd…709e     0.40 blk/s   39.2 tx/s    3.9 Mgas/s      0+    5 Qed Ancient:#5591872 LI:#13272322   14/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 00:17:57 UTC Reorg to #13272318 0x7920…b219 (0xedbd…709e #13272316 0x9afe…358a 0x6bcc…8d78)
2021-09-22 00:18:46 UTC  Ancient:#5595395 AB:#5595395   11/25 peers     10 KiB chain  524 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 00:18:46 UTC  Ancient:#5595395 AB:#5595395   11/25 peers     10 KiB chain  524 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 00:18:46 UTC  Ancient:#5595395 AB:#5595395   11/25 peers    0 bytes chain  524 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 00:19:39 UTC Syncing #13272328 0x6750…3720     0.06 blk/s   12.6 tx/s    0.9 Mgas/s      0+    4 Qed Ancient:#5595395 LI:#13272332    1/25 peers    144 KiB chain  811 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 00:19:39 UTC Syncing #13272328 0x6750…3720     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#5595395 LI:#13272332    1/25 peers    144 KiB chain  811 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 00:19:53 UTC Syncing #13272328 0x6750…3720     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#5595395 LI:#13272332    1/25 peers    144 KiB chain  811 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 00:20:28 UTC  Ancient:#5595395 AB:#5595395    0/25 peers    215 KiB chain  228 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 00:20:51 UTC Imported #13272332 0x0e32…1522 (228 txs, 13.62 Mgas, 20565 ms, 69.61 KiB)
2021-09-22 00:20:59 UTC  Ancient:#5595395 AB:#5595395    0/25 peers    215 KiB chain  0 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 00:21:29 UTC  Ancient:#5595395 AB:#5595395    0/25 peers    215 KiB chain  0 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 00:21:44 UTC Syncing #13272332 0x0e32…1522     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    0 Qed Ancient:#5595733 LI:#13272332    3/25 peers      5 MiB chain  0 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 00:21:49 UTC Syncing #13272332 0x0e32…1522     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    0 Qed Ancient:#5596135 LI:#13272331    4/25 peers      7 MiB chain  0 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 00:21:54 UTC Syncing #13272332 0x0e32…1522     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   20 Qed Ancient:#5596135 LI:#13272352    9/25 peers   744 bytes chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 00:21:59 UTC Syncing #13272332 0x0e32…1522     0.20 blk/s   52.8 tx/s    3.6 Mgas/s      0+   20 Qed Ancient:#5596135 LI:#13272353   13/25 peers    476 KiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 00:22:00 UTC Reorg to #13272333 0xf73c…e762 (0x0e32…1522 #13272331 0x9565…1b36 0x764c…fb05)
2021-09-22 00:22:07 UTC Syncing #13272333 0xf73c…e762     0.20 blk/s   14.2 tx/s    1.2 Mgas/s      0+   19 Qed Ancient:#5596135 LI:#13272353   13/25 peers    511 KiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 00:22:10 UTC Syncing #13272333 0xf73c…e762     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   20 Qed Ancient:#5596135 LI:#13272354   12/25 peers    511 KiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 00:22:15 UTC Syncing #13272333 0xf73c…e762     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   20 Qed Ancient:#5596135 LI:#13272354   12/25 peers    511 KiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 00:22:21 UTC Syncing #13272334 0xeecc…5889     0.20 blk/s   40.4 tx/s    4.4 Mgas/s      0+   19 Qed Ancient:#5596135 LI:#13272354   12/25 peers    547 KiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 00:22:24 UTC Syncing #13272334 0xeecc…5889     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   19 Qed Ancient:#5596135 LI:#13272354   10/25 peers    547 KiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 00:22:30 UTC Syncing #13272334 0xeecc…5889     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   19 Qed Ancient:#5596135 LI:#13272354    9/25 peers    547 KiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 00:22:34 UTC Syncing #13272334 0xeecc…5889     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   19 Qed Ancient:#5596135 LI:#13272353    9/25 peers    547 KiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 00:22:39 UTC Syncing #13272334 0xeecc…5889     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   19 Qed Ancient:#5596135 LI:#13272353    8/25 peers    547 KiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 00:22:40 UTC Could not revert to previous block, last: 13272353 (0xa791…2602)
2021-09-22 00:22:45 UTC Syncing #13272335 0xff2c…51cb     0.20 blk/s   74.2 tx/s    6.0 Mgas/s      0+   22 Qed Ancient:#5596136 LI:#13272356   12/25 peers    617 KiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 00:22:49 UTC Syncing #13272335 0xff2c…51cb     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   22 Qed Ancient:#5596136 LI:#13272356   13/25 peers    617 KiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 00:22:54 UTC Syncing #13272337 0xc545…a088     0.40 blk/s   29.8 tx/s    3.9 Mgas/s      0+   20 Qed Ancient:#5596138 LI:#13272356   11/25 peers    617 KiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 00:23:29 UTC Syncing #13272338 0xc3da…e609     0.03 blk/s    1.2 tx/s    0.1 Mgas/s      0+   21 Qed Ancient:#5596724 LI:#13272360   18/25 peers    0 bytes chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 00:24:09 UTC Syncing #13272339 0x63bd…d0d0     0.03 blk/s    3.0 tx/s    0.4 Mgas/s      0+   28 Qed Ancient:#5598454 LI:#13272367   17/25 peers    0 bytes chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 00:24:09 UTC Syncing #13272339 0x63bd…d0d0     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   28 Qed Ancient:#5598824 LI:#13272368   16/25 peers      4 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
