2021-10-02 01:26:12 UTC Syncing #13336900 0x5297…3376     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   18 Qed Ancient:#11278142 LI:#13336918   16/25 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:26:17 UTC Syncing #13336900 0x5297…3376     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   18 Qed Ancient:#11278142 LI:#13336918   17/25 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:26:22 UTC Syncing #13336900 0x5297…3376     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   18 Qed Ancient:#11278142 LI:#13336918   17/25 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:26:27 UTC Syncing #13336901 0xbbb8…3145     0.20 blk/s   74.4 tx/s    6.0 Mgas/s      0+   17 Qed Ancient:#11278143 LI:#13336918   17/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:26:39 UTC Syncing #13336902 0x8d9d…392d     0.10 blk/s   17.0 tx/s    1.4 Mgas/s      0+   16 Qed Ancient:#11278144 LI:#13336918   18/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:26:39 UTC Syncing #13336901 0xbbb8…3145     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   17 Qed Ancient:#11278143 LI:#13336918   18/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:26:49 UTC Syncing #13336902 0x8d9d…392d     0.10 blk/s   17.0 tx/s    1.4 Mgas/s      0+   16 Qed Ancient:#11278144 LI:#13336918   18/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:26:49 UTC Syncing #13336902 0x8d9d…392d     0.20 blk/s   34.0 tx/s    2.9 Mgas/s      0+   16 Qed Ancient:#11278144 LI:#13336918   18/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:27:00 UTC Syncing #13336903 0xe39b…461a     0.10 blk/s   19.9 tx/s    1.9 Mgas/s      0+   16 Qed Ancient:#11278145 LI:#13336919   18/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:27:00 UTC Syncing #13336903 0xe39b…461a     0.20 blk/s   39.8 tx/s    3.9 Mgas/s      0+   16 Qed Ancient:#11278145 LI:#13336919   18/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:27:14 UTC Syncing #13336904 0x2322…97c0     0.07 blk/s    8.9 tx/s    0.7 Mgas/s      0+   15 Qed Ancient:#11278146 LI:#13336919   18/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:27:14 UTC Syncing #13336904 0x2322…97c0     0.20 blk/s   26.6 tx/s    2.0 Mgas/s      0+   15 Qed Ancient:#11278146 LI:#13336919   18/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:27:14 UTC Syncing #13336904 0x2322…97c0     0.10 blk/s   13.3 tx/s    1.0 Mgas/s      0+   15 Qed Ancient:#11278146 LI:#13336919   18/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:27:22 UTC Syncing #13336906 0x0d85…1db5     0.20 blk/s   24.1 tx/s    2.0 Mgas/s      0+   16 Qed Ancient:#11278147 LI:#13336920   18/25 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:27:22 UTC Syncing #13336905 0x4fa2…21ad     0.20 blk/s   42.4 tx/s    3.5 Mgas/s      0+   16 Qed Ancient:#11278147 LI:#13336920   18/25 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:27:29 UTC Syncing #13336907 0x3238…40f7     0.40 blk/s    6.2 tx/s    0.6 Mgas/s      0+   15 Qed Ancient:#11278149 LI:#13336921   18/25 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:27:39 UTC Syncing #13336907 0x3238…40f7     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   15 Qed Ancient:#11278149 LI:#13336921   18/25 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:27:39 UTC Syncing #13336907 0x3238…40f7     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   15 Qed Ancient:#11278149 LI:#13336921   18/25 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:27:58 UTC Syncing #13336908 0x0b93…d2b5     0.20 blk/s   30.8 tx/s    3.2 Mgas/s      0+   14 Qed Ancient:#11278150 LI:#13336921   15/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:27:58 UTC Syncing #13336909 0xf82a…138c     0.20 blk/s   27.5 tx/s    2.6 Mgas/s      0+   13 Qed Ancient:#11278151 LI:#13336921   15/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:27:58 UTC Syncing #13336910 0x0034…5920     0.20 blk/s   48.2 tx/s    4.0 Mgas/s      0+   12 Qed Ancient:#11278152 LI:#13336921   15/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:27:58 UTC Syncing #13336910 0x0034…5920     0.09 blk/s   32.5 tx/s    2.7 Mgas/s      0+   12 Qed Ancient:#11278152 LI:#13336921   15/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 01:28:05 UTC Syncing #13336910 0x0034…5920     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   12 Qed Ancient:#11278152 LI:#13336921   15/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
