2021-09-22 00:50:56 UTC Syncing #13272459 0xdbc0…aac6     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#5613375 LI:#13272469   11/25 peers    222 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 00:51:01 UTC Syncing #13272459 0xdbc0…aac6     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#5613375 LI:#13272469   11/25 peers    222 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 00:51:05 UTC Syncing #13272459 0xdbc0…aac6     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   10 Qed Ancient:#5613375 LI:#13272470   13/25 peers    222 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 00:51:10 UTC Syncing #13272459 0xdbc0…aac6     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   11 Qed Ancient:#5613375 LI:#13272471   13/25 peers    222 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 00:51:18 UTC Syncing #13272460 0xbcf6…05f3     0.20 blk/s   87.4 tx/s    6.0 Mgas/s      0+   10 Qed Ancient:#5613377 LI:#13272471   14/25 peers    363 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 00:51:20 UTC Syncing #13272460 0xbcf6…05f3     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   11 Qed Ancient:#5613377 LI:#13272472   12/25 peers    363 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 00:51:25 UTC Syncing #13272460 0xbcf6…05f3     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   12 Qed Ancient:#5613377 LI:#13272473   17/25 peers    363 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 00:51:38 UTC Syncing #13272461 0xe2a7…4ff6     0.20 blk/s   31.2 tx/s    2.5 Mgas/s      0+   11 Qed Ancient:#5613378 LI:#13272473   17/25 peers    370 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 00:51:38 UTC Syncing #13272461 0xe2a7…4ff6     0.10 blk/s   15.6 tx/s    1.2 Mgas/s      0+   11 Qed Ancient:#5613378 LI:#13272473   17/25 peers    370 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 00:51:40 UTC Syncing #13272461 0xe2a7…4ff6     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   11 Qed Ancient:#5613378 LI:#13272473   14/25 peers    370 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 00:51:50 UTC Syncing #13272461 0xe2a7…4ff6     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   11 Qed Ancient:#5613378 LI:#13272473   16/25 peers    370 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 00:51:50 UTC Syncing #13272462 0x826b…6113     0.20 blk/s   37.1 tx/s    2.5 Mgas/s      0+   10 Qed Ancient:#5613379 LI:#13272473   16/25 peers    370 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 00:51:55 UTC Syncing #13272462 0x826b…6113     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   11 Qed Ancient:#5613379 LI:#13272474   13/25 peers    370 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 00:52:00 UTC Syncing #13272462 0x826b…6113     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   12 Qed Ancient:#5613379 LI:#13272475   12/25 peers    370 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 00:52:09 UTC Syncing #13272463 0x1ff1…1cd0     0.20 blk/s   37.4 tx/s    1.8 Mgas/s      0+   11 Qed Ancient:#5613380 LI:#13272475   12/25 peers    371 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 00:52:18 UTC Syncing #13272463 0x1ff1…1cd0     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   12 Qed Ancient:#5613380 LI:#13272476   12/25 peers    371 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 00:52:18 UTC Syncing #13272463 0x1ff1…1cd0     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   12 Qed Ancient:#5613380 LI:#13272476   12/25 peers    371 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 00:52:20 UTC Syncing #13272463 0x1ff1…1cd0     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   12 Qed Ancient:#5613380 LI:#13272476   12/25 peers    371 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 00:52:25 UTC Syncing #13272463 0x1ff1…1cd0     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   13 Qed Ancient:#5613380 LI:#13272477   12/25 peers    371 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 00:52:30 UTC Syncing #13272463 0x1ff1…1cd0     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   15 Qed Ancient:#5613380 LI:#13272479   14/25 peers    371 KiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 00:52:41 UTC Syncing #13272464 0x5ead…a7a9     0.20 blk/s   28.6 tx/s    2.7 Mgas/s      0+   14 Qed Ancient:#5613381 LI:#13272479   14/25 peers    371 KiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 00:52:41 UTC Syncing #13272465 0x9d36…aae5     0.15 blk/s    7.0 tx/s    0.7 Mgas/s      0+   13 Qed Ancient:#5613383 LI:#13272479   14/25 peers    651 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 00:52:47 UTC Syncing #13272465 0x9d36…aae5     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   14 Qed Ancient:#5613383 LI:#13272480   14/25 peers    651 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 00:52:50 UTC Syncing #13272465 0x9d36…aae5     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   15 Qed Ancient:#5613383 LI:#13272481   11/25 peers    651 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 00:53:18 UTC Syncing #13272466 0x8634…f9e3     0.05 blk/s   20.7 tx/s    1.4 Mgas/s      0+   16 Qed Ancient:#5613384 LI:#13272482   16/25 peers    652 KiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 00:53:18 UTC Syncing #13272466 0x8634…f9e3     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   16 Qed Ancient:#5613690 LI:#13272482   16/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 00:53:33 UTC Syncing #13272466 0x8634…f9e3     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   18 Qed Ancient:#5613691 LI:#13272485   16/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 00:53:46 UTC Syncing #13272466 0x8634…f9e3     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   18 Qed Ancient:#5613691 LI:#13272485   16/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 00:53:46 UTC Syncing #13272466 0x8634…f9e3     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   18 Qed Ancient:#5613691 LI:#13272485   16/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
