2021-10-02 04:30:54 UTC Syncing #13337719 0x5279…d730     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   23 Qed Ancient:#11318718 LI:#13337742   34/50 peers      4 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:30:59 UTC Syncing #13337720 0xf819…3de6     0.40 blk/s   96.4 tx/s    7.1 Mgas/s      0+   23 Qed Ancient:#11318720 LI:#13337744   34/50 peers      4 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:31:05 UTC Syncing #13337721 0xb71f…56cc     0.20 blk/s   13.0 tx/s    1.5 Mgas/s      0+   22 Qed Ancient:#11318721 LI:#13337744   34/50 peers      4 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:31:09 UTC Syncing #13337723 0xd5ed…2185     0.40 blk/s   19.6 tx/s    2.1 Mgas/s      0+   21 Qed Ancient:#11318723 LI:#13337745   34/50 peers      4 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:31:14 UTC Syncing #13337723 0xd5ed…2185     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   21 Qed Ancient:#11318723 LI:#13337745   34/50 peers      4 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:31:19 UTC Syncing #13337723 0xd5ed…2185     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   21 Qed Ancient:#11318723 LI:#13337745   33/50 peers      4 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:31:28 UTC Syncing #13337723 0xd5ed…2185     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   21 Qed Ancient:#11318723 LI:#13337745   32/50 peers      4 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:31:29 UTC Syncing #13337723 0xd5ed…2185     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   22 Qed Ancient:#11318723 LI:#13337746   32/50 peers      4 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:31:36 UTC Syncing #13337723 0xd5ed…2185     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   22 Qed Ancient:#11318723 LI:#13337746   32/50 peers      4 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:31:43 UTC Syncing #13337724 0xb80f…d084     0.20 blk/s   48.8 tx/s    4.3 Mgas/s      0+   21 Qed Ancient:#11318724 LI:#13337747   32/50 peers      4 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:31:44 UTC Syncing #13337724 0xb80f…d084     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   22 Qed Ancient:#11318724 LI:#13337747   32/50 peers      4 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:31:49 UTC Syncing #13337724 0xb80f…d084     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   22 Qed Ancient:#11318724 LI:#13337747   33/50 peers      4 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:31:54 UTC Syncing #13337724 0xb80f…d084     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   22 Qed Ancient:#11318724 LI:#13337747   35/50 peers      4 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:32:09 UTC Syncing #13337725 0xfd17…2116     0.20 blk/s   85.4 tx/s    6.0 Mgas/s      0+   22 Qed Ancient:#11318725 LI:#13337748   35/50 peers      4 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:32:09 UTC Syncing #13337725 0xfd17…2116     0.10 blk/s   42.7 tx/s    3.0 Mgas/s      0+   22 Qed Ancient:#11318725 LI:#13337748   35/50 peers      4 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 04:32:09 UTC Syncing #13337725 0xfd17…2116     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   22 Qed Ancient:#11318725 LI:#13337748   34/50 peers      4 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
