2021-09-22 04:07:16 UTC Syncing #13273296 0x5c5c…42dc     0.20 blk/s   18.3 tx/s    1.8 Mgas/s      0+   35 Qed Ancient:#5699179 LI:#13273331    2/25 peers      5 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:07:28 UTC Syncing #13273297 0x45dc…7455     0.10 blk/s   22.1 tx/s    2.5 Mgas/s      0+   34 Qed Ancient:#5699180 LI:#13273331    1/25 peers      5 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:07:28 UTC Syncing #13273297 0x45dc…7455     0.18 blk/s   42.1 tx/s    4.8 Mgas/s      0+   34 Qed Ancient:#5699180 LI:#13273331    1/25 peers      5 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:07:38 UTC Syncing #13273298 0x5b19…8131     0.20 blk/s   12.6 tx/s    1.5 Mgas/s      0+   33 Qed Ancient:#5699181 LI:#13273331    1/25 peers      5 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:07:38 UTC Syncing #13273298 0x5b19…8131     0.10 blk/s    6.3 tx/s    0.8 Mgas/s      0+   33 Qed Ancient:#5699181 LI:#13273331    1/25 peers      5 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:07:41 UTC Syncing #13273298 0x5b19…8131     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   44 Qed Ancient:#5699181 LI:#13273341    1/25 peers      5 MiB chain   11 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:07:46 UTC Syncing #13273299 0x74cc…b348     0.20 blk/s   24.2 tx/s    3.0 Mgas/s      0+   43 Qed Ancient:#5699182 LI:#13273341    0/25 peers      5 MiB chain   11 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:07:51 UTC Syncing #13273300 0x0a6c…6a47     0.20 blk/s   11.2 tx/s    2.5 Mgas/s      0+   42 Qed Ancient:#5699183 LI:#13273341    0/25 peers      5 MiB chain   11 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:07:56 UTC Syncing #13273301 0x9d4c…a379     0.20 blk/s    6.4 tx/s    0.6 Mgas/s      0+   41 Qed Ancient:#5699184 LI:#13273341    0/25 peers      5 MiB chain   11 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:08:01 UTC Syncing #13273301 0x9d4c…a379     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   41 Qed Ancient:#5699184 LI:#13273341    0/25 peers      5 MiB chain   11 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:08:07 UTC Syncing #13273301 0x9d4c…a379     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   41 Qed Ancient:#5699184 LI:#13273341    0/25 peers      5 MiB chain   11 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:08:11 UTC Syncing #13273301 0x9d4c…a379     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   41 Qed Ancient:#5699184 LI:#13273341    0/25 peers      5 MiB chain   11 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:08:16 UTC Syncing #13273301 0x9d4c…a379     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   41 Qed Ancient:#5699184 LI:#13273341    0/25 peers      5 MiB chain   11 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:08:21 UTC Syncing #13273301 0x9d4c…a379     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   41 Qed Ancient:#5699184 LI:#13273341    0/25 peers      5 MiB chain   11 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:08:31 UTC Syncing #13273301 0x9d4c…a379     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   41 Qed Ancient:#5699184 LI:#13273341    0/25 peers      5 MiB chain   11 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:08:31 UTC Syncing #13273301 0x9d4c…a379     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   41 Qed Ancient:#5699184 LI:#13273341    0/25 peers      5 MiB chain   11 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:08:42 UTC Syncing #13273302 0x859f…c9c4     0.10 blk/s   15.1 tx/s    3.0 Mgas/s      0+   40 Qed Ancient:#5699185 LI:#13273341    0/25 peers      5 MiB chain   10 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:08:42 UTC Syncing #13273302 0x859f…c9c4     0.20 blk/s   30.2 tx/s    6.0 Mgas/s      0+   40 Qed Ancient:#5699185 LI:#13273341    0/25 peers      5 MiB chain   10 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:08:46 UTC Syncing #13273302 0x859f…c9c4     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   44 Qed Ancient:#5699185 LI:#13273346    5/25 peers      5 MiB chain   12 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:08:51 UTC Syncing #13273302 0x859f…c9c4     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   45 Qed Ancient:#5699185 LI:#13273346    7/25 peers      5 MiB chain   12 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:08:56 UTC Syncing #13273302 0x859f…c9c4     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   47 Qed Ancient:#5699185 LI:#13273348    8/25 peers      5 MiB chain   12 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:09:01 UTC Syncing #13273302 0x859f…c9c4     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   47 Qed Ancient:#5699185 LI:#13273348   10/25 peers      5 MiB chain   12 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
