2021-09-21 23:47:11 UTC Syncing #13272184 0x6835…d6c7     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#5581340 LI:#13272190    7/25 peers    639 KiB chain  832 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:47:18 UTC Syncing #13272185 0x5c3f…fda7     0.20 blk/s   16.6 tx/s    1.1 Mgas/s      0+    5 Qed Ancient:#5581341 LI:#13272191    8/25 peers    640 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:47:22 UTC Syncing #13272185 0x5c3f…fda7     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#5581341 LI:#13272191    9/25 peers    640 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:47:26 UTC Syncing #13272185 0x5c3f…fda7     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#5581341 LI:#13272193    7/25 peers    640 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:47:31 UTC Syncing #13272185 0x5c3f…fda7     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#5581341 LI:#13272193    9/25 peers    640 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:47:36 UTC Syncing #13272187 0x341b…898b     0.40 blk/s   27.6 tx/s    2.3 Mgas/s      0+    5 Qed Ancient:#5581343 LI:#13272193    8/25 peers    640 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:47:41 UTC Syncing #13272187 0x341b…898b     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#5581343 LI:#13272193    8/25 peers    640 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:47:46 UTC Syncing #13272187 0x341b…898b     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#5581343 LI:#13272193    7/25 peers    640 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:47:51 UTC Syncing #13272187 0x341b…898b     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#5581343 LI:#13272194    9/25 peers    640 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:47:56 UTC Syncing #13272187 0x341b…898b     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#5581343 LI:#13272194    8/25 peers    640 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:48:01 UTC Syncing #13272187 0x341b…898b     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#5581343 LI:#13272194    8/25 peers    640 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:48:06 UTC Syncing #13272187 0x341b…898b     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#5581343 LI:#13272195    6/25 peers    640 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:48:11 UTC Syncing #13272187 0x341b…898b     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#5581343 LI:#13272195   14/25 peers    640 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:48:16 UTC Syncing #13272187 0x341b…898b     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#5581343 LI:#13272195    7/25 peers    640 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:48:26 UTC Syncing #13272187 0x341b…898b     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#5581343 LI:#13272195    8/25 peers    640 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:48:30 UTC Syncing #13272188 0x764f…4a5c     0.23 blk/s   73.7 tx/s    6.7 Mgas/s      0+    7 Qed Ancient:#5581344 LI:#13272195    7/25 peers    640 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:48:45 UTC Syncing #13272189 0x3aed…5776     0.07 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#5581345 LI:#13272195    5/25 peers    641 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:49:01 UTC Syncing #13272190 0x3d94…f6d6     0.06 blk/s   15.2 tx/s    1.5 Mgas/s      0+    7 Qed Ancient:#5581447 LI:#13272197   10/25 peers      2 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:49:46 UTC Syncing #13272190 0x3d94…f6d6     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   12 Qed Ancient:#5582579 LI:#13272202    7/25 peers   432 bytes chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:49:58 UTC Syncing #13272190 0x3d94…f6d6     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   11 Qed Ancient:#5582935 LI:#13272202    7/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:49:58 UTC Syncing #13272190 0x3d94…f6d6     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   11 Qed Ancient:#5582935 LI:#13272202    7/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:50:01 UTC Syncing #13272190 0x3d94…f6d6     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   12 Qed Ancient:#5582935 LI:#13272203    7/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:50:10 UTC Syncing #13272190 0x3d94…f6d6     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   12 Qed Ancient:#5582935 LI:#13272203    7/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
