2021-09-21 22:17:05 UTC Syncing #13271785 0xe9bb…efec     0.40 blk/s   57.4 tx/s    6.7 Mgas/s      0+   12 Qed Ancient:#5523258 LI:#13271798    4/25 peers    637 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 22:17:10 UTC Syncing #13271787 0xdb10…cbd8     0.40 blk/s   21.6 tx/s    1.5 Mgas/s      0+   10 Qed Ancient:#5523260 LI:#13271798    4/25 peers    638 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 22:17:16 UTC Syncing #13271788 0xbd88…fc70     0.20 blk/s   59.8 tx/s    5.8 Mgas/s      0+    9 Qed Ancient:#5523261 LI:#13271798    4/25 peers    638 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 22:17:21 UTC Syncing #13271790 0x5cd3…2a2c     0.40 blk/s   30.8 tx/s    3.2 Mgas/s      0+    7 Qed Ancient:#5523263 LI:#13271798    4/25 peers    639 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 22:17:29 UTC Syncing #13271791 0x50a8…e4cb     0.20 blk/s   34.8 tx/s    5.2 Mgas/s      0+    6 Qed Ancient:#5523264 LI:#13271798    3/25 peers    639 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 22:17:29 UTC Syncing #13271791 0x50a8…e4cb     0.10 blk/s   17.4 tx/s    2.6 Mgas/s      0+    6 Qed Ancient:#5523264 LI:#13271798    3/25 peers    639 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 22:17:36 UTC Syncing #13271791 0x50a8…e4cb     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#5523264 LI:#13271798    2/25 peers    639 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 22:18:01 UTC Imported #13271798 0x44bd…d9f1 (285 txs, 21.56 Mgas, 5313 ms, 93.93 KiB)
2021-09-21 22:18:18 UTC  Ancient:#5523391 AB:#5526162    2/25 peers      2 MiB chain  0 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 22:18:18 UTC  Ancient:#5526162 AB:#5526162    2/25 peers     18 MiB chain  0 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 22:18:18 UTC  Ancient:#5526162 AB:#5526162    2/25 peers     18 MiB chain  0 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 22:18:42 UTC  Ancient:#5526162 AB:#5526162    1/25 peers   744 bytes chain  0 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 22:18:56 UTC Syncing #13271799 0x5579…c1c7     0.20 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#5526162 LI:#13271804    4/25 peers     75 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 22:18:56 UTC Syncing #13271799 0x5579…c1c7     0.10 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#5526162 LI:#13271804    4/25 peers     75 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 22:18:57 UTC Syncing #13271799 0x5579…c1c7     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#5526162 LI:#13271804    4/25 peers     75 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 22:19:02 UTC Syncing #13271799 0x5579…c1c7     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#5526162 LI:#13271806    4/25 peers     75 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 22:19:10 UTC Syncing #13271800 0x273c…a70c     0.20 blk/s   93.0 tx/s    6.0 Mgas/s      0+    6 Qed Ancient:#5526163 LI:#13271807    4/25 peers    145 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 22:19:12 UTC Syncing #13271800 0x273c…a70c     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#5526163 LI:#13271807    4/25 peers    145 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 22:19:17 UTC Syncing #13271800 0x273c…a70c     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#5526163 LI:#13271809    5/25 peers    145 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 22:19:22 UTC Syncing #13271800 0x273c…a70c     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#5526163 LI:#13271809    5/25 peers    145 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 22:19:31 UTC Syncing #13271801 0x149c…e9e2     0.20 blk/s   57.8 tx/s    6.0 Mgas/s      0+    8 Qed Ancient:#5526164 LI:#13271810    5/25 peers    817 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 22:19:32 UTC Syncing #13271801 0x149c…e9e2     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#5526164 LI:#13271810    5/25 peers    817 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 22:19:37 UTC Syncing #13271801 0x149c…e9e2     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#5526164 LI:#13271810    5/25 peers    817 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 22:19:47 UTC Syncing #13271803 0xe20a…5593     0.20 blk/s   32.6 tx/s    3.0 Mgas/s      0+    6 Qed Ancient:#5526166 LI:#13271810    9/25 peers    817 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 22:19:47 UTC Syncing #13271802 0x0d3d…a521     0.20 blk/s   49.6 tx/s    4.8 Mgas/s      0+    7 Qed Ancient:#5526165 LI:#13271810    9/25 peers    817 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 22:19:55 UTC Syncing #13271803 0xe20a…5593     0.20 blk/s   15.6 tx/s    1.2 Mgas/s      0+    7 Qed Ancient:#5526166 LI:#13271811    9/25 peers    817 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 22:19:57 UTC Syncing #13271804 0xe090…1c67     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#5526166 LI:#13271812    9/25 peers    818 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 22:20:05 UTC Syncing #13271804 0xe090…1c67     0.20 blk/s   31.8 tx/s    2.2 Mgas/s      0+    7 Qed Ancient:#5526167 LI:#13271812    9/25 peers    958 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 22:20:07 UTC Syncing #13271804 0xe090…1c67     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#5526167 LI:#13271813    9/25 peers    958 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 22:20:12 UTC Syncing #13271804 0xe090…1c67     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#5526167 LI:#13271813    9/25 peers    958 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 22:20:19 UTC Syncing #13271805 0x4371…4815     0.20 blk/s   16.0 tx/s    1.5 Mgas/s      0+    7 Qed Ancient:#5526168 LI:#13271813    9/25 peers    958 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 22:20:22 UTC Syncing #13271805 0x4371…4815     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#5526168 LI:#13271813    9/25 peers    958 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 22:20:31 UTC Syncing #13271805 0x4371…4815     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#5526168 LI:#13271813    8/25 peers    958 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 22:20:36 UTC Syncing #13271806 0xda16…8b30     0.16 blk/s   19.6 tx/s    2.0 Mgas/s      0+    7 Qed Ancient:#5526169 LI:#13271813    6/25 peers    958 KiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
