2021-10-02 00:14:47 UTC Syncing #13336612 0xd2db…cdcc     0.20 blk/s   23.6 tx/s    2.6 Mgas/s      0+   18 Qed Ancient:#11258927 LI:#13336631    8/25 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:14:48 UTC Syncing #13336612 0xd2db…cdcc     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   18 Qed Ancient:#11258927 LI:#13336631    8/25 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:14:56 UTC Syncing #13336614 0xb556…1f75     0.40 blk/s   84.6 tx/s    6.9 Mgas/s      0+   16 Qed Ancient:#11258929 LI:#13336632    8/25 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:15:00 UTC Syncing #13336615 0xc5eb…6013     0.20 blk/s   41.2 tx/s    3.4 Mgas/s      0+   16 Qed Ancient:#11258930 LI:#13336632    8/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:15:06 UTC Syncing #13336617 0xeb07…78c0     0.40 blk/s   31.6 tx/s    2.9 Mgas/s      0+   15 Qed Ancient:#11258933 LI:#13336633    8/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:15:14 UTC Syncing #13336618 0x0c60…779f     0.10 blk/s   39.8 tx/s    3.0 Mgas/s      0+   15 Qed Ancient:#11258934 LI:#13336634    8/25 peers      6 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:15:14 UTC Syncing #13336618 0x0c60…779f     0.20 blk/s   79.6 tx/s    6.0 Mgas/s      0+   15 Qed Ancient:#11258934 LI:#13336634    8/25 peers      6 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:15:24 UTC Syncing #13336619 0x337b…baec     0.10 blk/s   41.4 tx/s    3.0 Mgas/s      0+   15 Qed Ancient:#11258935 LI:#13336635    8/25 peers      6 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:15:24 UTC Syncing #13336619 0x337b…baec     0.20 blk/s   82.8 tx/s    6.0 Mgas/s      0+   15 Qed Ancient:#11258935 LI:#13336635    8/25 peers      6 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:15:30 UTC Syncing #13336621 0x51ff…222e     0.40 blk/s   79.6 tx/s    7.7 Mgas/s      0+   14 Qed Ancient:#11258937 LI:#13336636    8/25 peers      6 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:15:36 UTC Syncing #13336622 0xc0ae…307d     0.20 blk/s   12.8 tx/s    1.6 Mgas/s      0+   13 Qed Ancient:#11258938 LI:#13336636    8/25 peers      6 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:15:44 UTC Syncing #13336623 0x82cc…203c     0.10 blk/s   31.1 tx/s    3.0 Mgas/s      0+   12 Qed Ancient:#11258939 LI:#13336636    7/25 peers      6 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:15:44 UTC Syncing #13336623 0x82cc…203c     0.20 blk/s   62.2 tx/s    6.0 Mgas/s      0+   12 Qed Ancient:#11258939 LI:#13336636    7/25 peers      6 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:15:50 UTC Syncing #13336625 0x98e1…2d34     0.40 blk/s   71.8 tx/s    6.2 Mgas/s      0+   10 Qed Ancient:#11258941 LI:#13336636    5/25 peers      6 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:15:56 UTC Syncing #13336627 0xead8…d78f     0.40 blk/s   77.4 tx/s    5.4 Mgas/s      0+    8 Qed Ancient:#11258943 LI:#13336636    5/25 peers      6 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:16:02 UTC Syncing #13336628 0x4138…c976     0.20 blk/s    8.8 tx/s    0.7 Mgas/s      0+    7 Qed Ancient:#11258944 LI:#13336636    5/25 peers      6 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:16:09 UTC Syncing #13336630 0x61fb…3ebd     0.40 blk/s   59.8 tx/s    5.6 Mgas/s      0+    6 Qed Ancient:#11258946 LI:#13336637    5/25 peers      6 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:16:09 UTC Syncing #13336631 0x0eca…225c     0.30 blk/s   41.7 tx/s    4.5 Mgas/s      0+    5 Qed Ancient:#11258947 LI:#13336638    5/25 peers      6 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:16:14 UTC Syncing #13336632 0xf7a4…c84a     0.20 blk/s    6.0 tx/s    0.3 Mgas/s      0+    5 Qed Ancient:#11258948 LI:#13336638    4/25 peers      6 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-02 00:16:28 UTC Syncing #13336634 0x1e83…12f2     0.13 blk/s   20.7 tx/s    1.8 Mgas/s      0+    4 Qed Ancient:#11258950 LI:#13336639    3/25 peers      6 MiB chain  947 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
