2021-09-22 01:08:36 UTC Syncing #13272525 0xc89c…59e8     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   20 Qed Ancient:#5616995 LI:#13272545   31/50 peers      3 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:08:42 UTC Syncing #13272526 0x4862…8d57     0.20 blk/s   84.6 tx/s    4.9 Mgas/s      0+   19 Qed Ancient:#5616996 LI:#13272545   31/50 peers      3 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:08:46 UTC Syncing #13272526 0x4862…8d57     0.20 blk/s   66.6 tx/s    3.9 Mgas/s      0+   18 Qed Ancient:#5616997 LI:#13272545   32/50 peers      3 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:08:49 UTC Reorg to #13272527 0x9fa8…1f6c (0x4862…8d57 #13272525 0xc89c…59e8 0x3532…b9ff)
2021-09-22 01:08:55 UTC Syncing #13272527 0x9fa8…1f6c     0.20 blk/s   34.6 tx/s    1.9 Mgas/s      0+   19 Qed Ancient:#5616998 LI:#13272546   32/50 peers      3 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:08:56 UTC Syncing #13272527 0x9fa8…1f6c     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   19 Qed Ancient:#5616998 LI:#13272546   32/50 peers      3 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:09:01 UTC Syncing #13272527 0x9fa8…1f6c     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   20 Qed Ancient:#5616998 LI:#13272547   30/50 peers      3 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:09:12 UTC Syncing #13272528 0xaef5…9e39     0.10 blk/s   26.5 tx/s    1.3 Mgas/s      0+   20 Qed Ancient:#5616999 LI:#13272548   29/50 peers      3 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:09:12 UTC Syncing #13272528 0xaef5…9e39     0.20 blk/s   53.0 tx/s    2.6 Mgas/s      0+   19 Qed Ancient:#5616999 LI:#13272548   29/50 peers      3 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:09:16 UTC Syncing #13272528 0xaef5…9e39     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   22 Qed Ancient:#5616999 LI:#13272549   29/50 peers      3 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:09:27 UTC Syncing #13272529 0x771a…a5e2     0.20 blk/s   35.4 tx/s    2.0 Mgas/s      0+   21 Qed Ancient:#5617000 LI:#13272549   29/50 peers      3 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:09:27 UTC Syncing #13272529 0x771a…a5e2     0.10 blk/s   17.7 tx/s    1.0 Mgas/s      0+   21 Qed Ancient:#5617000 LI:#13272549   29/50 peers      3 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:09:36 UTC Syncing #13272529 0x771a…a5e2     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   23 Qed Ancient:#5617000 LI:#13272551   28/50 peers      3 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:09:36 UTC Syncing #13272529 0x771a…a5e2     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   22 Qed Ancient:#5617000 LI:#13272551   29/50 peers      3 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:09:41 UTC Syncing #13272529 0x771a…a5e2     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   23 Qed Ancient:#5617000 LI:#13272551   28/50 peers      3 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:09:46 UTC Syncing #13272529 0x771a…a5e2     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   23 Qed Ancient:#5617000 LI:#13272551   28/50 peers      3 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:09:51 UTC Syncing #13272529 0x771a…a5e2     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   23 Qed Ancient:#5617000 LI:#13272551   27/50 peers      3 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:09:56 UTC Syncing #13272529 0x771a…a5e2     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   23 Qed Ancient:#5617000 LI:#13272551   27/50 peers      3 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:10:01 UTC Syncing #13272529 0x771a…a5e2     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   23 Qed Ancient:#5617000 LI:#13272551   27/50 peers      3 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:10:07 UTC Syncing #13272530 0x0244…a104     0.20 blk/s  126.0 tx/s    6.0 Mgas/s      0+   22 Qed Ancient:#5617001 LI:#13272551   27/50 peers      3 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:10:11 UTC Syncing #13272530 0x0244…a104     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   22 Qed Ancient:#5617001 LI:#13272551   27/50 peers      3 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:10:16 UTC Syncing #13272530 0x0244…a104     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   22 Qed Ancient:#5617001 LI:#13272551   27/50 peers      3 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:10:29 UTC Syncing #13272531 0xbda2…e589     0.10 blk/s   28.2 tx/s    2.2 Mgas/s      0+   21 Qed Ancient:#5617002 LI:#13272551   27/50 peers      3 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:10:29 UTC Syncing #13272531 0xbda2…e589     0.20 blk/s   56.4 tx/s    4.4 Mgas/s      0+   21 Qed Ancient:#5617002 LI:#13272551   27/50 peers      3 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:10:31 UTC Syncing #13272531 0xbda2…e589     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   21 Qed Ancient:#5617002 LI:#13272551   27/50 peers      3 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:10:41 UTC Syncing #13272533 0xafeb…16fd     0.20 blk/s   46.4 tx/s    2.3 Mgas/s      0+   19 Qed Ancient:#5617005 LI:#13272551   27/50 peers      3 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 01:10:41 UTC Syncing #13272532 0xbf8e…9b54     0.20 blk/s   76.0 tx/s    3.9 Mgas/s      0+   20 Qed Ancient:#5617004 LI:#13272551   27/50 peers      3 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
