2021-10-01 18:54:40 UTC Syncing #13335199 0x5b25…b1be     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   11 Qed Ancient:#11163384 LI:#13335211    9/25 peers      3 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 18:54:54 UTC Syncing #13335201 0xfc9d…bce2     0.20 blk/s   52.2 tx/s    3.9 Mgas/s      0+   10 Qed Ancient:#11163386 LI:#13335212    9/25 peers      3 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 18:54:54 UTC Syncing #13335200 0x90a7…5609     0.20 blk/s   68.0 tx/s    4.8 Mgas/s      0+   11 Qed Ancient:#11163385 LI:#13335212    9/25 peers      3 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 18:54:54 UTC Syncing #13335201 0xfc9d…bce2     0.07 blk/s   12.1 tx/s    1.0 Mgas/s      0+   10 Qed Ancient:#11163386 LI:#13335212    9/25 peers      3 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 18:55:04 UTC Syncing #13335203 0x53ac…3bf8     0.40 blk/s   29.8 tx/s    1.9 Mgas/s      0+    8 Qed Ancient:#11163388 LI:#13335212    8/25 peers      3 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 18:55:14 UTC Syncing #13335203 0x53ac…3bf8     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#11163388 LI:#13335213    7/25 peers      3 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 18:55:14 UTC Syncing #13335204 0xd7bc…eb94     0.10 blk/s   13.6 tx/s    0.9 Mgas/s      0+    8 Qed Ancient:#11163389 LI:#13335214    7/25 peers      3 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 18:55:20 UTC Syncing #13335206 0xded8…fba4     0.20 blk/s   22.2 tx/s    2.0 Mgas/s      0+    7 Qed Ancient:#11163391 LI:#13335214    6/25 peers      3 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 18:55:20 UTC Syncing #13335204 0xd7bc…eb94     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#11163389 LI:#13335214    6/25 peers      3 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 18:55:26 UTC Syncing #13335206 0xded8…fba4     0.40 blk/s   44.4 tx/s    3.9 Mgas/s      0+    8 Qed Ancient:#11163391 LI:#13335215    5/25 peers      3 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 18:55:29 UTC Syncing #13335206 0xded8…fba4     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#11163391 LI:#13335215    5/25 peers      3 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 18:55:34 UTC Syncing #13335206 0xded8…fba4     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   10 Qed Ancient:#11163391 LI:#13335217    5/25 peers      3 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 18:55:39 UTC Syncing #13335206 0xded8…fba4     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   12 Qed Ancient:#11163391 LI:#13335219    4/25 peers      3 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 18:55:48 UTC Syncing #13335207 0xa576…eefc     0.20 blk/s   78.0 tx/s    6.0 Mgas/s      0+   11 Qed Ancient:#11163392 LI:#13335219    4/25 peers      3 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-01 18:55:49 UTC Syncing #13335207 0xa576…eefc     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   11 Qed Ancient:#11163392 LI:#13335219    4/25 peers      3 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
