2021-09-22 03:32:45 UTC Syncing #13273156 0x99f1…62da     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   13 Qed Ancient:#5681455 LI:#13273169   25/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 03:32:58 UTC Syncing #13273157 0xf470…5b4e     0.20 blk/s   73.4 tx/s    6.0 Mgas/s      0+   12 Qed Ancient:#5681457 LI:#13273169   25/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 03:32:58 UTC Syncing #13273157 0xf470…5b4e     0.10 blk/s   36.7 tx/s    3.0 Mgas/s      0+   12 Qed Ancient:#5681457 LI:#13273169   25/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 03:33:00 UTC Syncing #13273157 0xf470…5b4e     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   12 Qed Ancient:#5681457 LI:#13273169   25/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 03:33:05 UTC Syncing #13273157 0xf470…5b4e     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   12 Qed Ancient:#5681457 LI:#13273169   25/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 03:33:16 UTC Syncing #13273158 0x3960…a863     0.10 blk/s   25.9 tx/s    2.7 Mgas/s      0+   12 Qed Ancient:#5681458 LI:#13273170   25/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 03:33:16 UTC Syncing #13273158 0x3960…a863     0.20 blk/s   51.8 tx/s    5.5 Mgas/s      0+   12 Qed Ancient:#5681458 LI:#13273170   25/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 03:33:20 UTC Syncing #13273158 0x3960…a863     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   12 Qed Ancient:#5681458 LI:#13273170   26/50 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 03:33:25 UTC Syncing #13273158 0x3960…a863     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   13 Qed Ancient:#5681458 LI:#13273171   26/50 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 03:33:33 UTC Syncing #13273159 0xf7f6…60e4     0.20 blk/s   48.6 tx/s    4.3 Mgas/s      0+   12 Qed Ancient:#5681459 LI:#13273171   26/50 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 03:33:40 UTC Syncing #13273160 0x9bf0…b33e     0.10 blk/s    5.8 tx/s    0.5 Mgas/s      0+   11 Qed Ancient:#5681461 LI:#13273171   26/50 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
