2021-05-09 10:27:21 UTC Syncing #12399406 0xf2b9…621d     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+  212 Qed Ancient:#12118719 LI:#12399614   39/50 peers      7 MiB chain   49 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 10:27:26 UTC Syncing #12399407 0x18cf…4aa5     0.20 blk/s   65.2 tx/s    3.0 Mgas/s      0+  212 Qed Ancient:#12118719 LI:#12399615   39/50 peers      9 MiB chain   49 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 10:27:31 UTC Syncing #12399407 0x18cf…4aa5     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+  213 Qed Ancient:#12118719 LI:#12399616   39/50 peers      8 MiB chain   49 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 10:27:36 UTC Syncing #12399407 0x18cf…4aa5     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+  214 Qed Ancient:#12118719 LI:#12399617   39/50 peers      8 MiB chain   49 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 10:27:41 UTC Syncing #12399408 0x5a7e…2957     0.20 blk/s   49.2 tx/s    3.0 Mgas/s      0+  213 Qed Ancient:#12118719 LI:#12399617   39/50 peers      8 MiB chain   49 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 10:27:46 UTC Syncing #12399408 0x5a7e…2957     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+  213 Qed Ancient:#12118719 LI:#12399618   39/50 peers      6 MiB chain   49 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 10:27:51 UTC Syncing #12399409 0x67af…1e21     0.20 blk/s   88.8 tx/s    3.0 Mgas/s      0+  213 Qed Ancient:#12118719 LI:#12399618   39/50 peers      5 MiB chain   49 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 10:27:56 UTC Syncing #12399409 0x67af…1e21     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+  213 Qed Ancient:#12118719 LI:#12399618   39/50 peers      3 MiB chain   49 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 10:28:01 UTC Syncing #12399409 0x67af…1e21     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+  214 Qed Ancient:#12118719 LI:#12399619   39/50 peers      4 MiB chain   49 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-05-09 10:28:06 UTC Syncing #12399409 0x67af…1e21     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+  215 Qed Ancient:#12118719 LI:#12399620   39/50 peers      4 MiB chain   50 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
