2021-09-22 04:38:26 UTC Syncing #13273469 0x7ae9…9055     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#5713779 LI:#13273477    0/25 peers    109 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:38:35 UTC Syncing #13273469 0x7ae9…9055     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#5713779 LI:#13273477    0/25 peers    109 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:38:36 UTC Syncing #13273469 0x7ae9…9055     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#5713779 LI:#13273477    0/25 peers    109 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:38:41 UTC Syncing #13273469 0x7ae9…9055     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#5713779 LI:#13273477    0/25 peers    109 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:38:46 UTC Syncing #13273469 0x7ae9…9055     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    7 Qed Ancient:#5713779 LI:#13273477    0/25 peers    109 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:38:51 UTC Syncing #13273470 0x61f7…7c94     0.20 blk/s   30.6 tx/s    2.8 Mgas/s      0+    6 Qed Ancient:#5713779 LI:#13273477    0/25 peers    144 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:38:56 UTC Syncing #13273470 0x61f7…7c94     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    6 Qed Ancient:#5713779 LI:#13273477    0/25 peers    144 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:39:01 UTC Syncing #13273472 0x6504…d22d     0.40 blk/s   17.2 tx/s    2.0 Mgas/s      0+    4 Qed Ancient:#5713779 LI:#13273477    0/25 peers    145 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:39:06 UTC Syncing #13273472 0x6504…d22d     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#5713779 LI:#13273477    0/25 peers    145 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:39:11 UTC Syncing #13273472 0x6504…d22d     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#5713779 LI:#13273477    0/25 peers    145 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:39:16 UTC Syncing #13273472 0x6504…d22d     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#5713779 LI:#13273477    0/25 peers    145 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:39:21 UTC Syncing #13273472 0x6504…d22d     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#5713779 LI:#13273477    0/25 peers    145 KiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:39:58 UTC  Ancient:#5713779 AB:#5713779    0/25 peers    215 KiB chain  675 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:39:58 UTC  Ancient:#5713779 AB:#5713779    0/25 peers    215 KiB chain  675 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:40:37 UTC  Ancient:#5713779 AB:#5713779    0/25 peers    355 KiB chain  0 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:40:37 UTC  Ancient:#5713779 AB:#5713779    0/25 peers    355 KiB chain  0 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:40:37 UTC  Ancient:#5713779 AB:#5713779    0/25 peers    355 KiB chain  0 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:40:37 UTC Imported #13273477 0x049c…7a7e (771 txs, 29.98 Mgas, 15779 ms, 156.10 KiB)
2021-09-22 04:41:01 UTC Syncing #13273477 0x049c…7a7e     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    0 Qed Ancient:#5713779 LI:#13273477    2/25 peers    355 KiB chain  0 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 04:41:06 UTC Syncing #13273477 0x049c…7a7e     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   12 Qed Ancient:#5713779 LI:#13273490    2/25 peers    355 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
