2021-09-21 23:18:40 UTC Syncing #13272045 0xb4d9…2a93     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   20 Qed Ancient:#5565370 LI:#13272066    6/25 peers      2 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:18:41 UTC Syncing #13272045 0xb4d9…2a93     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   20 Qed Ancient:#5565370 LI:#13272066    6/25 peers      2 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:18:46 UTC Syncing #13272045 0xb4d9…2a93     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   20 Qed Ancient:#5565370 LI:#13272066    6/25 peers      2 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:18:51 UTC Syncing #13272045 0xb4d9…2a93     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   20 Qed Ancient:#5565370 LI:#13272066    6/25 peers      2 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:19:00 UTC Syncing #13272045 0xb4d9…2a93     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   20 Qed Ancient:#5565370 LI:#13272066    6/25 peers      2 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:19:08 UTC Syncing #13272046 0xc3ba…3239     0.20 blk/s   67.6 tx/s    6.0 Mgas/s      0+   21 Qed Ancient:#5565371 LI:#13272068    3/25 peers      2 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:19:08 UTC Syncing #13272046 0xc3ba…3239     0.10 blk/s   33.8 tx/s    3.0 Mgas/s      0+   21 Qed Ancient:#5565371 LI:#13272068    3/25 peers      2 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:19:11 UTC Syncing #13272046 0xc3ba…3239     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   23 Qed Ancient:#5565371 LI:#13272070    3/25 peers      2 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:19:16 UTC Syncing #13272046 0xc3ba…3239     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   23 Qed Ancient:#5565371 LI:#13272070    3/25 peers      2 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:19:21 UTC Syncing #13272046 0xc3ba…3239     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   23 Qed Ancient:#5565371 LI:#13272070    3/25 peers      2 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:19:36 UTC Syncing #13272048 0x85b4…dcf0     0.40 blk/s   50.2 tx/s    5.8 Mgas/s      0+   21 Qed Ancient:#5565373 LI:#13272070    4/25 peers      3 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:19:36 UTC Syncing #13272048 0x85b4…dcf0     0.20 blk/s   25.1 tx/s    2.9 Mgas/s      0+   21 Qed Ancient:#5565373 LI:#13272070    5/25 peers      3 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:19:36 UTC Syncing #13272048 0x85b4…dcf0     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   23 Qed Ancient:#5565373 LI:#13272072    4/25 peers      3 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:19:41 UTC Syncing #13272048 0x85b4…dcf0     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   23 Qed Ancient:#5565373 LI:#13272072    6/25 peers      3 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-21 23:19:52 UTC Syncing #13272049 0x6795…bda9     0.10 blk/s   20.8 tx/s    1.5 Mgas/s      0+   22 Qed Ancient:#5565374 LI:#13272072    6/25 peers      3 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
