timestamp,dir_read_c,dir_reads,tcp_conn,tcp_sends,dir_writes,dir_write_c,tcp_recvs
1632084225,0,0,192,11264,20480,5,1639424
1632084240,0,0,186,6144,24576,6,4135936
1632084255,0,0,178,2889728,16384,4,3538944
1632084270,0,0,193,1553408,16384,4,4585472
1632084285,0,0,180,12288,32768,8,5223424
1632084300,0,0,191,6144,16384,4,2382848
1632084315,0,0,187,12288,24576,6,3454976
1632084330,0,0,202,6144,8192,2,3207168
1632084345,0,0,199,12288,24576,6,3374080
1632084360,0,0,187,6144,32768,8,3146752
1632084375,0,0,192,13312,16384,4,1987584
1632084390,0,0,175,7168,28672,7,2581504
1632084405,0,0,186,4091904,8192,2,5818368
1632084420,0,0,197,194560,8192,2,6063104
1632084435,0,0,197,1243136,8192,2,4361216
1632084450,0,0,186,3850240,8192,2,3132416
1632084465,0,0,184,11264,8192,2,1953792
1632084480,0,0,204,5120,49152,12,1697792
1632084495,0,0,187,12288,12288,3,4550656
1632084510,0,0,181,6144,4096,1,4395008
1632084525,0,0,189,12288,12288,3,3847168
1632084540,0,0,200,5120,32768,8,3101696
1632084555,0,0,174,11264,24576,6,3756032
1632084570,0,0,176,6144,12288,3,4286464
1632084585,0,0,185,12288,24576,6,3728384
1632084600,0,0,195,5120,8192,2,2215936
1632084615,0,0,197,11264,4096,1,1376256
1632084630,0,0,183,6144,24576,6,1577984
1632084645,0,0,185,11264,32768,8,3539968
1632084660,0,0,186,6144,12288,3,5556224
1632084675,0,0,179,11264,8192,2,2744320
1632084690,0,0,193,5120,12288,3,4303872
1632084705,0,0,190,2682880,24576,6,2380800
1632084720,0,0,196,4651008,12288,3,1631232
1632084735,0,0,199,12288,114688,28,4838400
1632084750,0,0,184,6144,16384,4,3633152
1632084765,0,0,175,6750208,65536,16,1507328
1632084780,0,0,184,6144,8192,2,3884032
1632084795,0,0,196,12288,16384,4,2397184
1632084810,0,0,182,6144,36864,9,2532352
1632084825,0,0,200,12288,12288,3,3944448
1632084840,0,0,190,6144,8192,2,3061760
1632084855,0,0,178,12288,8192,2,3364864
1632084870,0,0,184,6144,4096,1,2574336
1632084885,0,0,192,12288,16384,4,3866624
1632084900,0,0,180,2829312,4096,1,1417216
1632084915,0,0,200,2016256,4096,1,1793024
1632084930,0,0,192,4083712,4096,1,5222400
1632084945,0,0,186,2620416,4096,1,3947520
1632084960,0,0,185,6144,4096,1,4852736
1632084975,0,0,197,12288,4096,1,4300800
1632084990,0,0,192,6144,20480,5,3793920
1632085005,0,0,181,2864128,4096,1,4121600
1632085020,0,0,182,6144,4096,1,4283392
1632085035,0,0,194,11264,49152,12,2159616
1632085050,0,0,184,5120,36864,9,4789248
1632085065,0,0,181,12288,36864,9,5102592
1632085080,0,0,202,5120,28672,7,2036736
1632085095,0,0,175,12288,8192,2,3720192
1632085110,0,0,184,3000320,24576,6,4400128
1632085125,0,0,196,12288,8192,2,4401152
1632085140,0,0,174,6144,20480,5,2882560
1632085155,0,0,190,12288,65536,16,4249600
1632085170,0,0,194,6144,49152,12,3775488
1632085185,0,0,181,12288,12288,3,2066432
1632085200,0,0,178,6144,28672,7,4541440
