2021-09-22 05:09:42 UTC Syncing #13273603 0xd73c…0cee     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   20 Qed Ancient:#5725998 LI:#13273624   13/25 peers      1 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 05:09:51 UTC Syncing #13273604 0x099c…f98c     0.20 blk/s   50.2 tx/s    6.0 Mgas/s      0+   19 Qed Ancient:#5725999 LI:#13273624   12/25 peers      1 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 05:09:52 UTC Syncing #13273604 0x099c…f98c     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   20 Qed Ancient:#5725999 LI:#13273625   12/25 peers      1 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 05:10:09 UTC Syncing #13273605 0x97b6…a81d     0.20 blk/s   18.6 tx/s    2.0 Mgas/s      0+   19 Qed Ancient:#5726002 LI:#13273625   12/25 peers      1 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 05:10:09 UTC Syncing #13273605 0x97b6…a81d     0.10 blk/s    9.3 tx/s    1.0 Mgas/s      0+   19 Qed Ancient:#5726002 LI:#13273625   12/25 peers      1 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 05:10:09 UTC Syncing #13273605 0x97b6…a81d     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   19 Qed Ancient:#5726002 LI:#13273625   12/25 peers      1 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 05:10:12 UTC Syncing #13273605 0x97b6…a81d     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   19 Qed Ancient:#5726002 LI:#13273625   12/25 peers      1 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 05:10:17 UTC Syncing #13273605 0x97b6…a81d     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   19 Qed Ancient:#5726002 LI:#13273625   14/25 peers      1 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 05:10:26 UTC Syncing #13273606 0xb58f…4747     0.20 blk/s   37.0 tx/s    4.4 Mgas/s      0+   18 Qed Ancient:#5726003 LI:#13273625   16/25 peers      1 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 05:10:32 UTC Syncing #13273608 0x0c90…8803     0.23 blk/s   10.5 tx/s    1.1 Mgas/s      0+   17 Qed Ancient:#5726005 LI:#13273625   16/25 peers      1 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 05:10:51 UTC Syncing #13273608 0x0c90…8803     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   18 Qed Ancient:#5726200 LI:#13273627   10/25 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 05:11:00 UTC Syncing #13273608 0x0c90…8803     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   18 Qed Ancient:#5726200 LI:#13273627   11/25 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 05:11:02 UTC Syncing #13273608 0x0c90…8803     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   19 Qed Ancient:#5726200 LI:#13273628   11/25 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 05:11:09 UTC Syncing #13273608 0x0c90…8803     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   19 Qed Ancient:#5726200 LI:#13273628   12/25 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 05:11:17 UTC Syncing #13273609 0xe8a3…30e8     0.20 blk/s   67.6 tx/s    6.0 Mgas/s      0+   18 Qed Ancient:#5726201 LI:#13273628   12/25 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 05:11:17 UTC Syncing #13273609 0xe8a3…30e8     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   18 Qed Ancient:#5726201 LI:#13273628   12/25 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 05:11:24 UTC Syncing #13273610 0xe396…1f75     0.20 blk/s   68.8 tx/s    5.9 Mgas/s      0+   17 Qed Ancient:#5726202 LI:#13273628   12/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 05:11:33 UTC Syncing #13273611 0xcd94…ca09     0.20 blk/s   84.2 tx/s    6.0 Mgas/s      0+   16 Qed Ancient:#5726203 LI:#13273628   12/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-09-22 05:11:33 UTC Syncing #13273612 0x43a8…9387     0.17 blk/s   67.5 tx/s    1.9 Mgas/s      0+   15 Qed Ancient:#5726204 LI:#13273630   12/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
